id_usuario;id_videojuego;veredicto;titulo;texto
45;1068;positivo;Si este juego fuera One Piece, me vería los 1000 episodios;Me recuerda cuando era joven
123;1068;positivo;Nisiquiera la mejor de las odas podría describir este juego;Me recuerda cuando era joven
95;2031;positivo;Mejor juego o mejor juego;Mejor que manjarate
105;731;positivo;Horas de diversión;Mejor que manjarate
125;9730;positivo;Pero que ofertón;Mejor que manjarate
99;17000;positivo;No decepciona, incluso sorprende;Muy Entretenido
104;498;positivo;Me soprende que no tenga más premios;Muy Entretenido
109;76;positivo;Buena inversión;Muy Entretenido
143;1074;positivo;Increíble nada más que decir;Muy Entretenido
40;230;negativo;Es más malo que malini;Muy facil y muy caro para las horas efectivas de juego
146;375;negativo;Y pensar que me perdí la boda de mi hija por este juego;Muy facil y muy caro para las horas efectivas de juego
87;1068;negativo;No entiendo por qué no regalan este juego;Muy malo
97;230;negativo;Si tuviera que decidir entre un pato y un conejo este juego sería un conejo;Muy malo
127;498;negativo;Peor que no ir vestido de traje a un bar;Muy malo
148;375;negativo;Peor juego;Muy malo
10;74;positivo;No me calza el precio con la calidad del juego, debería costar mucho más;No entiendo el motivo por el cual no han sacado una nueva entrega aún
23;375;positivo;Nisiquiera la mejor de las odas podría describir este juego;No entiendo el motivo por el cual no han sacado una nueva entrega aún
27;493;positivo;Vine buscando cobre y encontré oro;No entiendo el motivo por el cual no han sacado una nueva entrega aún
99;5503;positivo;Fantabuloso;No entiendo el motivo por el cual no han sacado una nueva entrega aún
40;20;negativo;Parace una broma que existe un juego como este;No logré comprender la idea del juego
78;2031;negativo;No es malo, no, es malísimo;No logré comprender la idea del juego
91;2031;negativo;Peor juego;No logré comprender la idea del juego
115;11208;negativo;No entiendo por qué no regalan este juego;No logré comprender la idea del juego
116;76;negativo;No sé como logró subir por los 9 círculos del infierno este juego;No logré comprender la idea del juego
128;7334;negativo;Pensar que me entusiasmó en un principio...;No logré comprender la idea del juego
137;2031;negativo;Em... tenía final el juego?;No logré comprender la idea del juego
148;2031;negativo;No entiendo por qué no regalan este juego;No logré comprender la idea del juego
54;731;positivo;Vine buscando cobre y encontré oro;No puedo creer que no haya jugado esto antes
74;731;positivo;No decepciona, incluso sorprende;No puedo creer que no haya jugado esto antes
118;18;positivo;Horas de diversión;No puedo creer que no haya jugado esto antes
131;2031;positivo;Más bueno que el pan con chancho;No puedo creer que no haya jugado esto antes
129;1068;positivo;Horas de diversión;No sabría que decir al respecto
9;6036;negativo;Y pensar que me perdí la boda de mi hija por este juego;Nooo el juego
38;74;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Nooo el juego
89;20;negativo;No entiendo por qué no regalan este juego;Nooo el juego
110;9630;positivo;Buena inversión;Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes
129;2031;positivo;Fantabuloso;Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes
142;1074;positivo;Pero que ofertón;Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes
23;6036;negativo;No es malo, no, es malísimo;Peor que mis laboratorios con margen de error del 1000%
89;9630;negativo;Es más malo que malini;Peor que mis laboratorios con margen de error del 1000%
96;230;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Peor que mis laboratorios con margen de error del 1000%
97;26758;negativo;No entiendo por qué no regalan este juego;Peor que mis laboratorios con margen de error del 1000%
99;126;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;Peor que mis laboratorios con margen de error del 1000%
101;9730;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;Peor que mis laboratorios con margen de error del 1000%
102;74;negativo;Peor juego;Peor que mis laboratorios con margen de error del 1000%
107;1068;negativo;No es malo, no, es malísimo;Peor que mis laboratorios con margen de error del 1000%
116;731;negativo;Em... tenía final el juego?;Peor que mis laboratorios con margen de error del 1000%
116;9730;negativo;No es malo, no, es malísimo;Peor que mis laboratorios con margen de error del 1000%
125;1070;negativo;tiempo y dinero tirados a la basura;Peor que mis laboratorios con margen de error del 1000%
79;74;negativo;Muy Malo;Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
80;74;negativo;Y pensar que me perdí la boda de mi hija por este juego;Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
107;1070;negativo;No entiendo por qué no regalan este juego;Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
112;11208;negativo;No es malo, no, es malísimo;Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
93;549;negativo;Peor que no ir vestido de traje a un bar;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
102;2031;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
104;126;negativo;No es malo, no, es malísimo;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
109;1384;negativo;No entiendo por qué no regalan este juego;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
122;1070;negativo;Em... tenía final el juego?;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
122;549;negativo;No sé como logró subir por los 9 círculos del infierno este juego;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
141;74;negativo;Muy Malo;Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
40;549;negativo;Parace una broma que existe un juego como este;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
40;26758;negativo;Pensar que me entusiasmó en un principio...;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
102;2;negativo;Si tuviera que decidir entre un pato y un conejo este juego sería un conejo;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
122;9630;negativo;Es más malo que malini;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
123;2031;negativo;Em... tenía final el juego?;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
126;2031;negativo;Em... tenía final el juego?;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
134;2031;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
139;74;negativo;Parace una broma que existe un juego como este;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
146;5503;negativo;Pensar que me entusiasmó en un principio...;Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar
94;74;positivo;No me calza el precio con la calidad del juego, debería costar mucho más;Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
102;7334;positivo;No decepciona, incluso sorprende;Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
102;26758;positivo;No decepciona, incluso sorprende;Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
108;239;positivo;Vine buscando cobre y encontré oro;Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
79;239;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;Terriblemente malo
99;76;negativo;Pensar que me entusiasmó en un principio...;Terriblemente malo
107;17000;negativo;tiempo y dinero tirados a la basura;Terriblemente malo
124;2031;negativo;Pensar que me entusiasmó en un principio...;Terriblemente malo
125;26758;negativo;Peor que no ir vestido de traje a un bar;Terriblemente malo
130;2031;negativo;Em... tenía final el juego?;Terriblemente malo
133;230;negativo;Em... tenía final el juego?;Terriblemente malo
9;26758;positivo;No me calza el precio con la calidad del juego, debería costar mucho más;Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene
40;9730;positivo;Si este juego fuera One Piece, me vería los 1000 episodios;Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene
125;2031;positivo;Increíble nada más que decir;Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene
132;2031;positivo;Me encantaría saber si tiene una secuela;Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene
150;6036;positivo;Vine buscando cobre y encontré oro;Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene
